PSJudge,avgEVC,avgSD,binCount,binSize,cocoWindow,cvWindow,elle,il,ils,je,judgementMethod,keywordMethod,le,netAngle,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounCount,pronounFrac,rfAccuracy,rfMAE,runID,svmAccuracy,svmMAE,targetWordCount,toBeCount,toBeFrac,vous
,0.0413026686,0.0996355189,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.3134638479,0.0314269364,0.1528013865,0.0066898409,0.2268575624,0.1278222384,0.6486486486,0.8904959621,1I5MNP,0.7387387387,0.8079337008,10.0,,,
,0.0339896069,0.1558637831,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1542020565,0.0332661603,0.0938741461,0.0982681092,0.2467063404,0.1838297976,0.7477477477,0.7078571448,MOALTX,0.7207207207,0.765948273,15.0,,,
,0.038851723,0.1021999155,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1417599741,0.0686801299,0.1745755592,0.0075251575,0.2537078829,0.2126996579,0.7297297297,0.6792792793,EQQRMI,0.7117117117,0.8191892154,20.0,,,
,0.0818321973,0.1399445774,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1262198945,0.0842834639,0.1698816512,0.0323219627,0.2280015932,0.1375146597,0.7117117117,0.7444323276,8NDTFP,0.7747747748,0.6963604539,25.0,,,
,0.0828692199,0.1515517006,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1619283557,0.0459726848,0.0951885974,0.0119903794,0.2608350687,0.1896639935,0.7837837838,0.6393232139,OT4PET,0.7657657658,0.7055143905,30.0,,,
,0.0544218782,0.1277987966,355,10,3.0,3.0,,,,,pronoun,tfidf,,30.0,,0.1033971683,0.1118088057,0.1500642033,0.0250858746,0.2937232288,0.1337000445,0.8198198198,0.5902677678,OX6TKS,0.7837837838,0.7730421246,20.0,,,
,0.0824891533,0.053027823,355,10,3.0,3.0,,,,,pronoun,tfidf,,30.0,,0.3345109732,0.052177313,0.1130857277,0.0122052915,0.220695785,0.1318079334,0.7477477477,0.7544421293,H8BMJE,0.7297297297,0.7718050451,30.0,,,
,0.043612757,0.0795658638,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.3223507955,0.0433254242,0.1265506467,0.0168034585,0.2379492835,0.1298417707,0.7567567568,0.7382854617,J43RV5,0.7117117117,0.8764732768,10.0,,,
,0.0454459095,0.1473835319,355,10,3.0,4.0,,,,,pronoun,tfidfNoPro,,30.0,,0.25866243,0.0383220567,0.0771715745,0.0280383734,0.2175189214,0.1874572025,0.7567567568,0.6533003761,FUKCTU,0.7477477477,0.7890980328,10.0,,,
,0.0319783212,0.0960898406,355,10,3.0,4.0,,,,,pronoun,tfidfNoPro,,30.0,,0.2439941267,0.0392451264,0.0893608823,0.0437812679,0.2976225292,0.1579279056,0.7477477477,0.7006484066,25YR63,0.7747747748,0.7484090101,10.0,,,
,0.0493420378,0.0636907142,355,10,3.0,5.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1729906687,0.0780138392,0.1266065391,0.0186719465,0.3038495116,0.1868347429,0.7387387387,0.6646017113,KOE946,0.7297297297,0.8124294879,10.0,,,
,0.0467048719,0.0610294097,355,10,3.0,4.0,,,,,both,tfidfNoPro,,30.0,,0.0936107696,0.0896162429,0.0866820192,0.0653883909,,0.1645220985,0.7837837838,0.5962755826,A9BWJU,0.8018018018,0.7048311199,10.0,,0.3924461974,
,0.025856155,0.0619217101,355,10,3.0,3.0,,,,,both,tfidfNoPro,,30.0,,0.1821508692,0.1099120339,0.103776474,0.033384544,,0.0856381955,0.7927927928,0.5864343793,8BZPVU,0.8108108108,0.6955610149,10.0,,0.3973600182,
,0.0179121244,0.0310299568,355,10,3.0,3.0,,,,,bothAll,tfidfNoPro,,30.0,,0.0771067421,0.0069783688,0.1035418461,0.0077701668,0.0966119283,0.0360854218,0.7747747748,0.618700265,5LPJF5,0.7657657658,0.6460283279,10.0,0.3038818569,0.319081588,
,0.0605728209,0.0738619376,355,10,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.2100761075,0.0775363398,0.1293982922,0.0351786711,0.2862604205,0.1271154105,0.6846846847,0.7305841042,VKYKKP,0.7207207207,0.839354962,10.0,,,
,0.0929691283,0.0868783095,355,10,3.0,3.0,,,,,both,tfidfNoPro,,30.0,,0.0830426036,0.1146172024,0.105277136,0.0414037115,,0.1355715887,0.8018018018,0.6145948767,33P0KB,0.7747747748,0.6956481082,10.0,,0.34024032,
,0.0125279016,0.0215438482,355,10,3.0,3.0,,,,,bothAll,tfidfNoPro,,30.0,,0.0425612298,0.0549928314,0.0656248644,0.0476609316,0.0674207533,0.0147184404,0.8648648649,0.3950859951,HFB61Q,0.8288288288,0.5647432574,10.0,0.3905863224,0.2823628769,
,0.0545410865,0.0291439029,355,10,3.0,3.0,,,,,tobe,tfidfNoPro,,30.0,,0.0753302243,0.023966293,0.0854122683,0.0064015349,,,0.7657657658,0.6029436485,N531W8,0.8018018018,0.5799190307,10.0,0.3847039132,0.3405007769,
,0.0203113055,0.0165397683,355,10,3.0,3.0,,,,,tobe,tfidfNoPro,,30.0,,0.2225747461,0.01441653,0.1085380207,0.0095160197,,,0.8648648649,0.4324206342,WWP0P2,0.8288288288,0.6407406427,10.0,0.2523855585,0.3557180513,
,0.1019770333,0.0848154514,1175,3,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1433038964,0.0058296153,0.1527336872,0.0078256631,0.3288436513,0.174671002,0.6957746479,0.880862376,I91L3H,0.6957746479,0.8920699694,10.0,,,
,0.074668031,0.1047460461,707,5,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1419265873,0.0165144807,0.1622133907,0.0215146825,0.2645563532,0.2138604285,0.6296296296,0.9006351123,NO7E77,0.6851851852,0.8942194578,10.0,,,
,0.0762619649,0.0982917645,1175,3,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.120334901,0.027758024,0.1530897521,0.0109620851,0.3378652002,0.1754363082,0.585915493,1.0481732945,NL4R45,0.6732394366,0.9638076504,10.0,,,
